time,error,integral,derivative,output,setpoint,measured_value,angle_x,angle_y,control_signal,speed
0.003,-0.3237878,-0.003237878,-6.475756,-33.02761,0.0,0.3237878,1.795743,0.3237878,-33.02761,4374
0.021,-0.9236198,-0.01247408,-17.17725,-80,0.0,0.9236198,3.545361,0.9236198,-80,3604
0.039,-1.223181,-0.02470588,-19.73301,-80,0.0,1.223181,5.481482,1.223181,-80,3604
0.058,-1.557054,-0.04027642,-22.46387,-80,0.0,1.557054,7.070866,1.557054,-80,3604
0.077,-1.981271,-0.06008912,-26.45544,-80,0.0,1.981271,8.627747,1.981271,-80,3604
0.139,-2.165672,-0.08174583,-24.85237,-80,0.0,2.165672,10.09331,2.165672,-80,3604
0.201,-2.529854,-0.1070444,-27.16553,-80,0.0,2.529854,11.54717,2.529854,-80,3604
0.256,-2.504064,-0.132085,-21.21664,-80,0.0,2.504064,13.33971,2.504064,-80,3604
0.317,-2.678086,-0.1588659,-20.45374,-80,0.0,2.678086,14.88811,2.678086,-80,3604
0.434,-2.860096,-0.1874668,-20.0032,-80,0.0,2.860096,16.48004,2.860096,-80,3604
0.494,-3.196796,-0.2194348,-22.73656,-80,0.0,3.196796,18.19791,3.196796,-80,3604
0.552,-3.577774,-0.2552125,-25.80881,-80,0.0,3.577774,19.548,3.577774,-80,3604
0.609,-3.567757,-0.2908901,-20.4467,-80,0.0,3.567757,20.63834,3.567757,-80,3604
0.668,-3.750618,-0.3283963,-20.01459,-80,0.0,3.750618,21.85027,3.750618,-80,3604
0.728,-4.097199,-0.3693683,-22.94329,-80,0.0,4.097199,23.12196,4.097199,-80,3604
0.796,-4.263386,-0.4120021,-21.67837,-80,0.0,4.263386,24.61105,4.263386,-80,3604
0.858,-4.426942,-0.4562716,-20.61383,-80,0.0,4.426942,25.89598,4.426942,-80,3604
0.918,-4.631265,-0.5025842,-20.57752,-80,0.0,4.631265,27.34691,4.631265,-80,3604
0.974,-4.741956,-0.5500038,-18.67583,-80,0.0,4.741956,28.19596,4.741956,-80,3604
1.035,-4.681355,-0.5968173,-13.72864,-80,0.0,4.681355,28.99385,4.681355,-80,3604
1.101,-4.818243,-0.6449997,-13.72068,-80,0.0,4.818243,30.35846,4.818243,-80,3604
1.162,-5.286129,-0.697861,-20.33427,-80,0.0,5.286129,31.64018,5.286129,-80,3604
1.23,-5.219091,-0.7500519,-14.92666,-80,0.0,5.219091,32.62764,5.219091,-80,3604
1.297,-5.603933,-0.8060912,-19.63816,-80,0.0,5.603933,33.34594,5.603933,-80,3604
1.422,-5.806552,-0.8641568,-19.76291,-80,0.0,5.806552,34.47182,5.806552,-80,3604
1.487,-5.887393,-0.9230308,-17.42715,-80,0.0,5.887393,35.54037,5.887393,-80,3604
1.546,-5.891953,-0.9819503,-14.03292,-80,0.0,5.891953,36.65792,5.891953,-80,3604
1.61,-5.959028,-1.041541,-12.56784,-80,0.0,5.959028,37.72954,5.959028,-80,3604
1.671,-6.023692,-1.101778,-11.34754,-80,0.0,6.023692,38.85843,6.023692,-80,3604
1.736,-6.076288,-1.16254,-10.12996,-80,0.0,6.076288,39.79831,6.076288,-80,3604
1.802,-6.389096,-1.226431,-14.36012,-80,0.0,6.389096,40.77457,6.389096,-80,3604
1.864,-6.601617,-1.292448,-15.73853,-80,0.0,6.601617,41.72573,6.601617,-80,3604
1.926,-6.837255,-1.36082,-17.30358,-80,0.0,6.837255,42.68446,6.837255,-80,3604
1.989,-6.768538,-1.428505,-12.46852,-80,0.0,6.768538,43.64726,6.768538,-80,3604
2.054,-6.921759,-1.497723,-13.03924,-80,0.0,6.921759,44.7413,6.921759,-80,3604
2.119,-7.332268,-1.571046,-18.64157,-80,0.0,7.332268,45.76957,7.332268,-80,3604
2.187,-7.461494,-1.645661,-17.49779,-80,0.0,7.461494,47.15775,7.461494,-80,3604
2.253,-7.496378,-1.720624,-14.6959,-80,0.0,7.496378,48.1236,7.496378,-80,3604
2.331,-7.921862,-1.799843,-20.2664,-80,0.0,7.921862,48.8501,7.921862,-80,3604
2.458,-7.956083,-1.879404,-16.89754,-80,0.0,7.956083,49.52146,7.956083,-80,3604
2.537,-8.193187,-1.961336,-18.26011,-80,0.0,8.193187,50.27635,8.193187,-80,3604
2.61,-8.407043,-2.045406,-18.88522,-80,0.0,8.407043,51.17564,8.407043,-80,3604
2.677,-8.559065,-2.130997,-18.14861,-80,0.0,8.559065,51.84343,8.559065,-80,3604
2.746,-8.639898,-2.217396,-16.13556,-80,0.0,8.639898,53.07689,8.639898,-80,3604
2.819,-8.559595,-2.302992,-11.30238,-80,0.0,8.559595,53.69968,8.559595,-80,3604
2.89,-8.734223,-2.390334,-12.53447,-80,0.0,8.734223,54.45436,8.734223,-80,3604
2.958,-8.463242,-2.474966,-4.60794,-80,0.0,8.463242,55.35097,8.463242,-80,3604
3.033,-8.402965,-2.558996,-2.480812,-80,0.0,8.402965,56.22876,8.402965,-80,3604
3.102,-8.538596,-2.644382,-4.697281,-80,0.0,8.538596,56.82079,8.538596,-80,3604
3.173,-8.703183,-2.731414,-7.049565,-80,0.0,8.703183,57.44619,8.703183,-80,3604
3.282,-8.893993,-2.820354,-9.455856,-80,0.0,8.893993,57.46218,8.893993,-80,3604
3.335,-9.175128,-2.912105,-13.18738,-80,0.0,9.175128,58.44299,9.175128,-80,3604
3.387,-9.028911,-3.002394,-7.625556,-80,0.0,9.028911,59.03303,9.028911,-80,3604
3.438,-9.266659,-3.095061,-10.85541,-80,0.0,9.266659,59.81246,9.266659,-80,3604
3.563,-9.402295,-3.189084,-11.39705,-80,0.0,9.402295,60.44553,9.402295,-80,3604
3.614,-9.725868,-3.286342,-15.5891,-80,0.0,9.725868,60.76585,9.725868,-80,3604
3.67,-9.792371,-3.384266,-13.80134,-80,0.0,9.792371,61.56833,9.792371,-80,3604
3.728,-9.817513,-3.482441,-11.5439,-80,0.0,9.817513,62.13606,9.817513,-80,3604
3.783,-9.903752,-3.581479,-10.95992,-80,0.0,9.903752,62.58685,9.903752,-80,3604
3.838,-10.02079,-3.681686,-11.10869,-80,0.0,10.02079,62.90574,10.02079,-80,3604
3.893,-10.33457,-3.785032,-15.16261,-80,0.0,10.33457,63.32845,10.33457,-80,3604
3.95,-10.24365,-3.887469,-10.31154,-80,0.0,10.24365,64.21404,10.24365,-80,3604
4.009,-10.27626,-3.990231,-8.901433,-80,0.0,10.27626,64.67731,10.27626,-80,3604
4.067,-10.44468,-4.094678,-10.48958,-80,0.0,10.44468,65.15186,10.44468,-80,3604
4.125,-10.49591,-4.199637,-9.416293,-80,0.0,10.49591,65.5945,10.49591,-80,3604
4.184,-10.46171,-4.304254,-6.849117,-80,0.0,10.46171,66.13665,10.46171,-80,3604
4.244,-10.55093,-4.409763,-7.263542,-80,0.0,10.55093,66.54187,10.55093,-80,3604
4.303,-10.73783,-4.517142,-9.548855,-80,0.0,10.73783,67.14717,10.73783,-80,3604
4.37,-10.71431,-4.624285,-7.168789,-80,0.0,10.71431,67.62422,10.71431,-80,3604
4.488,-10.80754,-4.73236,-7.59956,-80,0.0,10.80754,67.90031,10.80754,-80,3604
4.546,-10.80738,-4.840434,-6.076425,-80,0.0,10.80738,68.46581,10.80738,-80,3604
4.603,-11.06333,-4.951067,-9.98012,-80,0.0,11.06333,68.91498,11.06333,-80,3604
4.671,-11.11137,-5.062181,-8.945019,-80,0.0,11.11137,69.34602,11.11137,-80,3604
4.734,-11.26511,-5.174832,-10.23083,-80,0.0,11.26511,69.54677,11.26511,-80,3604
4.797,-11.17946,-5.286626,-6.47162,-80,0.0,11.17946,70.03716,11.17946,-80,3604
4.862,-11.33389,-5.399965,-8.265903,-80,0.0,11.33389,70.50629,11.33389,-80,3604
4.925,-11.2922,-5.512887,-5.778983,-80,0.0,11.2922,70.63298,11.2922,-80,3604
4.984,-11.6283,-5.62917,-11.34503,-80,0.0,11.6283,70.63646,11.6283,-80,3604
5.044,-11.84008,-5.747571,-13.31165,-80,0.0,11.84008,71.16828,11.84008,-80,3604
5.107,-11.9257,-5.866828,-12.36174,-80,0.0,11.9257,71.6963,11.9257,-80,3604
5.171,-12.12998,-5.988128,-13.97497,-80,0.0,12.12998,71.87321,12.12998,-80,3604
5.241,-11.84996,-6.106627,-5.579619,-80,0.0,11.84996,72.00711,11.84996,-80,3604
5.304,-11.76278,-6.224255,-2.720188,-80,0.0,11.76278,72.09485,11.76278,-80,3604
5.369,-11.8434,-6.342689,-3.78849,-80,0.0,11.8434,72.16164,11.8434,-80,3604
5.495,-11.91504,-6.461839,-4.463535,-80,0.0,11.91504,72.68404,11.91504,-80,3604
5.558,-11.75388,-6.579378,-0.3477521,-80,0.0,11.75388,73.22892,11.75388,-80,3604
5.627,-11.99761,-6.699354,-5.152679,-80,0.0,11.99761,73.23913,11.99761,-80,3604
5.693,-12.05631,-6.819917,-5.296269,-80,0.0,12.05631,73.33604,12.05631,-80,3604
5.761,-11.92763,-6.939193,-1.663258,-80,0.0,11.92763,73.80216,11.92763,-80,3604
5.831,-11.86666,-7.05786,-0.1112576,-80,0.0,11.86666,74.4306,11.86666,-80,3604
5.897,-12.09889,-7.178849,-4.733572,-80,0.0,12.09889,74.81914,12.09889,-80,3604
5.967,-12.1013,-7.299862,-3.835056,-80,0.0,12.1013,75.0118,12.1013,-80,3604
6.033,-12.31607,-7.423023,-7.363585,-80,0.0,12.31607,75.33071,12.31607,-80,3604
6.097,-12.23163,-7.545339,-4.20191,-80,0.0,12.23163,75.78065,12.23163,-80,3604
6.171,-12.49384,-7.670278,-8.60586,-80,0.0,12.49384,76.30331,12.49384,-80,3604
6.243,-12.52349,-7.795513,-7.477644,-80,0.0,12.52349,76.6527,12.52349,-80,3604
6.316,-12.79817,-7.923494,-11.47576,-80,0.0,12.79817,76.96619,12.79817,-80,3604
6.392,-12.76824,-8.051177,-8.581946,-80,0.0,12.76824,76.46179,12.76824,-80,3604
6.467,-12.74612,-8.178638,-6.42311,-80,0.0,12.74612,76.755,12.74612,-80,3604
6.597,-12.82869,-8.306926,-6.789985,-80,0.0,12.82869,76.98132,12.82869,-80,3604
6.668,-12.82089,-8.435135,-5.27589,-80,0.0,12.82089,77.51776,12.82089,-80,3604
